,step_count,distance_covered,speed,calories_burned,start_time_interval_daily,end_time_interval_daily,time_offset,sample_size,location,datetime,name,tempmin,tempmax,temp,uvindex,solarradiation,windspeed,humidity
26,2865.5,1881.0,0.8444444444444444,30.4,2025-03-06 00:00:00,2025-03-07 00:00:00,UTC+0100,2,Eindhoven,2025-03-06 00:00:00,Eindhoven,2.2,18.3,9.0,6,147.9,21.2,63.5
27,36456.0,27173.0085715,2.1953662858811884,1018.96161399,2025-03-06 00:00:00,2025-03-07 00:00:00,UTC+0100,1,Torremolinos,2025-03-06 00:00:00,Torremolinos,13.5,17.8,15.6,7,112.9,22.3,82.1
28,14541.333333333334,10720.677910533333,2.2166273334854063,431.8503924966667,2025-03-07 00:00:00,2025-03-08 00:00:00,UTC+0100,3,Eindhoven,2025-03-07 00:00:00,Eindhoven,3.7,17.8,10.2,6,150.7,17.6,62.0
29,7376.0,5283.983323333334,0.98209962788162,202.5133319933333,2025-03-08 00:00:00,2025-03-09 00:00:00,UTC+0100,3,Eindhoven,2025-03-08 00:00:00,Eindhoven,3.5,19.2,10.2,6,155.6,17.2,59.0
30,2571.3333333333335,2537.4000263333332,1.3924252950938967,123.05663775666669,2025-03-09 00:00:00,2025-03-10 00:00:00,UTC+0100,3,Eindhoven,2025-03-09 00:00:00,Eindhoven,1.9,19.2,10.2,6,154.3,13.9,60.0
31,3917.6666666666665,2789.023315666667,1.7801143035955054,96.78666550000001,2025-03-10 00:00:00,2025-03-11 00:00:00,UTC+0100,3,Eindhoven,2025-03-10 00:00:00,Eindhoven,1.1,17.8,8.9,6,164.3,13.5,64.4
32,4601.666666666667,3215.206646166667,1.4907781989130435,102.55999811666668,2025-03-11 00:00:00,2025-03-12 00:00:00,UTC+0100,3,Eindhoven,2025-03-11 00:00:00,Eindhoven,0.9,7.9,4.9,1,32.2,16.3,84.2
33,3169.3333333333335,2269.583268,1.150845686015873,86.1166581,2025-03-12 00:00:00,2025-03-13 00:00:00,UTC+0100,3,Eindhoven,2025-03-12 00:00:00,Eindhoven,-1.7,8.0,3.6,5,92.5,16.0,84.1
34,2327.6666666666665,1800.7399911666669,1.2216417679012346,85.2133307,2025-03-13 00:00:00,2025-03-14 00:00:00,UTC+0100,3,Eindhoven,2025-03-13 00:00:00,Eindhoven,-3.1,7.3,2.5,4,80.9,13.0,83.9
35,2046.3333333333333,1594.2900028000001,1.537886538611589,77.41666643666667,2025-03-14 00:00:00,2025-03-15 00:00:00,UTC+0100,3,Eindhoven,2025-03-14 00:00:00,Eindhoven,-3.0,6.4,2.5,7,137.0,16.9,77.5
36,7222.0,5243.866666466667,1.3107303014293707,187.92666624666666,2025-03-15 00:00:00,2025-03-16 00:00:00,UTC+0100,3,Eindhoven,2025-03-15 00:00:00,Eindhoven,-2.1,7.6,2.6,6,118.6,27.5,75.9
37,4846.666666666667,3454.676647333333,1.3062347978260869,108.0966654,2025-03-16 00:00:00,2025-03-17 00:00:00,UTC+0100,3,Eindhoven,2025-03-16 00:00:00,Eindhoven,-1.7,10.0,3.9,7,186.1,17.8,71.2
38,6848.666666666667,4545.766666,1.829228535158891,81.03999991666667,2025-03-17 00:00:00,2025-03-18 00:00:00,UTC+0100,3,Eindhoven,2025-03-17 00:00:00,Eindhoven,3.6,10.1,6.6,6,130.7,24.5,63.9
39,1112.6666666666667,824.9599993333333,1.1485360866666667,33.216666659999994,2025-03-18 00:00:00,2025-03-19 00:00:00,UTC+0100,3,Eindhoven,2025-03-18 00:00:00,Eindhoven,0.2,11.8,5.8,7,193.5,22.5,40.5
40,3577.6666666666665,2472.3966671666667,1.4742405332905983,63.209999976666666,2025-03-19 00:00:00,2025-03-20 00:00:00,UTC+0100,3,Eindhoven,2025-03-19 00:00:00,Eindhoven,0.4,18.5,8.9,6,189.5,13.8,46.9
41,7170.0,8604.680087,1.928271245751634,417.41992444,2025-03-20 00:00:00,2025-03-21 00:00:00,UTC+0100,1,Eindhoven,2025-03-20 00:00:00,Eindhoven,2.2,19.2,11.1,6,181.8,9.4,57.9
42,1625.0,1220.4104057,1.2748719112328766,58.52751727,2025-03-21 00:00:00,2025-03-22 00:00:00,UTC+0100,1,Eindhoven,2025-03-21 00:00:00,Eindhoven,6.7,22.3,15.2,6,171.0,24.9,50.3
43,25053.0,18855.7960292,1.2809800294767442,887.450884416,2025-03-22 00:00:00,2025-03-23 00:00:00,UTC+0100,1,Eindhoven,2025-03-22 00:00:00,Eindhoven,12.9,18.9,15.8,5,110.3,17.9,55.2
44,573.0,429.4300065,1.2455287103703705,21.1499995,2025-03-23 00:00:00,2025-03-24 00:00:00,UTC+0100,1,Eindhoven,2025-03-23 00:00:00,Eindhoven,10.9,17.8,13.6,6,116.1,21.8,70.0
