,daily_step_count,distance_covered,speed,calories_burned,day_time,sample_size,location,datetime,name,tempmin,tempmax,temp,uvindex,solarradiation,windspeed,humidity
27,18912.333333333332,14104.681666666665,2.0267183,553.7372366666667,2025-03-06 00:00:00,3,Torremolinos,2025-03-06 00:00:00,Torremolinos,13.5,17.8,15.6,7,112.9,22.3,82.1
28,5026.5,3524.2,2.4780246913580246,200.72,2025-03-07 00:00:00,2,Eindhoven,2025-03-07 00:00:00,Eindhoven,3.7,17.8,10.2,6,150.7,17.6,62.0
29,17046.0,12750.10175,1.658446675,585.43361,2025-03-07 00:00:00,4,Torremolinos,2025-03-07 00:00:00,Torremolinos,12.5,17.1,14.9,2,39.4,18.4,87.0
30,5537.75,3967.2130859999997,0.825561088888889,202.78277320000004,2025-03-08 00:00:00,4,Eindhoven,2025-03-08 00:00:00,Eindhoven,3.5,19.2,10.2,6,155.6,17.2,59.0
31,4018.6,3375.5800000000004,1.5231105666666667,209.4574575,2025-03-09 00:00:00,5,Eindhoven,2025-03-09 00:00:00,Eindhoven,1.9,19.2,10.2,6,154.3,13.9,60.0
32,3934.6666666666665,2802.013333333334,1.7957305,146.074995,2025-03-10 00:00:00,3,Eindhoven,2025-03-10 00:00:00,Eindhoven,1.1,17.8,8.9,6,164.3,13.5,64.4
33,4784.25,3416.86,1.4476372,171.84,2025-03-11 00:00:00,4,Eindhoven,2025-03-11 00:00:00,Eindhoven,0.9,7.9,4.9,1,32.2,16.3,84.2
34,3638.0,2655.77495,1.2302717153439156,151.52665333333334,2025-03-12 00:00:00,4,Eindhoven,2025-03-12 00:00:00,Eindhoven,-1.7,8.0,3.6,5,92.5,16.0,84.1
35,2851.4,2185.204,1.298905161111111,128.829995,2025-03-13 00:00:00,5,Eindhoven,2025-03-13 00:00:00,Eindhoven,-3.1,7.3,2.5,4,80.9,13.0,83.9
36,2067.0,1609.7866666666669,1.5379325952380951,117.31,2025-03-14 00:00:00,3,Eindhoven,2025-03-14 00:00:00,Eindhoven,-3.0,6.4,2.5,7,137.0,16.9,77.5
37,9221.75,6779.349999999999,1.298283606060606,345.97332,2025-03-15 00:00:00,4,Eindhoven,2025-03-15 00:00:00,Eindhoven,-2.1,7.6,2.6,6,118.6,27.5,75.9
38,5480.0,3976.415,1.3103488444444444,183.42,2025-03-16 00:00:00,4,Eindhoven,2025-03-16 00:00:00,Eindhoven,-1.7,10.0,3.9,7,186.1,17.8,71.2
39,4166.666666666667,2830.3266666666664,1.5129612289655172,76.924,2025-03-17 00:00:00,6,Eindhoven,2025-03-17 00:00:00,Eindhoven,3.6,10.1,6.6,6,130.7,24.5,63.9
40,891.5,656.9,1.0508333333333333,50.44,2025-03-18 00:00:00,2,Eindhoven,2025-03-18 00:00:00,Eindhoven,0.2,11.8,5.8,7,193.5,22.5,40.5
41,3249.0,2280.395,1.4200977185185186,86.80666666666667,2025-03-19 00:00:00,4,Eindhoven,2025-03-19 00:00:00,Eindhoven,0.4,18.5,8.9,6,189.5,13.8,46.9
42,9398.0,8604.68,2.0534766,417.41992,2025-03-20 00:00:00,2,Eindhoven,2025-03-20 00:00:00,Eindhoven,2.2,19.2,11.1,6,181.8,9.4,57.9
43,1615.0,1212.58,1.2838215,58.219997,2025-03-21 00:00:00,2,Eindhoven,2025-03-21 00:00:00,Eindhoven,6.7,22.3,15.2,6,171.0,24.9,50.3
44,10539.25,7891.21685,1.0975175799999999,377.668739575,2025-03-22 00:00:00,4,Eindhoven,2025-03-22 00:00:00,Eindhoven,12.9,18.9,15.8,5,110.3,17.9,55.2
45,573.0,429.43,1.2613628,21.15,2025-03-23 00:00:00,1,Eindhoven,2025-03-23 00:00:00,Eindhoven,10.9,17.8,13.6,6,116.1,21.8,70.0
