name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Eindhoven,2025-03-17T00:00:00,4.9,2.6,2.2,82.49,0,0,,0,0,14.1,9.8,358,1025.3,99,44.5,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T01:00:00,5.3,3.1,2.9,84.09,0,0,,0,0,33.5,9.8,358,1025.7,100,43.8,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T02:00:00,5.1,3.7,3.6,89.48,0,0,,0,0,10.7,6.6,349,1025.9,100,40.1,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T03:00:00,4.8,4.8,3.7,92.11,0,0,,0,0,4.5,4,14,1025.9,100,42.2,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T04:00:00,4.9,3.3,3.5,90.5,0,0,,0,0,11.1,7,3,1025.8,100,42.9,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T05:00:00,4.6,2.1,3.3,91.41,0,0,,0,0,14.7,10.4,29,1026.2,100,28.8,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T06:00:00,4.6,2,2.7,87.14,0,0,,0,0,17.8,10.9,31,1026.7,100,24.7,0,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T07:00:00,4.7,1.7,1.3,78.42,0,0,,0,0,21.4,13.5,39,1027.1,99.4,24,3,0,0,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T08:00:00,4.8,1.7,1.7,80.28,0,0,,0,0,21.2,13.9,40,1027.6,99.4,22,55,0.2,1,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T09:00:00,5.5,2,1.9,77.81,0,0,,0,0,13.3,17.5,57,1028.2,98.8,20.3,109,0.4,1,10,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T10:00:00,6.7,3.9,2.3,73.7,0,0,,0,0,24.7,14.3,68,1028.6,82.7,19.2,206,0.7,2,10,Partially cloudy,partly-cloudy-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T11:00:00,8.2,5.7,1.8,64.18,0,0,,0,0,25.2,15,54,1028.8,40.4,20.7,586,2.1,6,10,Partially cloudy,partly-cloudy-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T12:00:00,9.4,6.8,1.7,58.81,0,0,,0,0,29,18.8,57,1028.9,81,24.8,125,0.5,1,10,Partially cloudy,partly-cloudy-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T13:00:00,9.9,7.1,0.1,50.64,0,0,,0,0,35.8,21.7,63,1028.9,73,38.2,206,0.7,2,10,Partially cloudy,partly-cloudy-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T14:00:00,10,10,-1.3,45.21,0,0,,0,0,32.5,24.5,70,1028.5,17.2,31.2,606,2.2,6,10,Clear,clear-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T15:00:00,10.1,10.1,-1.7,43.76,0,0,,0,0,25.8,15.2,96,1028.2,5.4,35.5,507,1.8,5,10,Clear,clear-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-17T16:00:00,10.1,10.1,-2.8,40.25,0,0,,0,0,29.4,18.2,78,1028.2,5.8,35.4,377,1.4,4,10,Clear,clear-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
