name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Eindhoven,2025-03-01T00:00:00,0.1,0.1,-0.1,98.15,0.006,100,"rain,snow",0,0,4.5,3.8,359,1029.5,9.9,19.5,0,0,0,,"Snow, Rain",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T01:00:00,-1.3,-1.3,-1.4,98.96,0,0,,0,0,4.6,3.9,284,1029.9,0.5,9.5,0,0,0,,Clear,clear-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T02:00:00,-1.2,-1.2,-1.2,99.73,0,0,,0,0,4.1,3.7,10,1030.1,51.4,9.5,0,0,0,,Partially cloudy,partly-cloudy-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T03:00:00,1.4,-2.7,1.3,99.89,0,0,,0,0,16.7,15,15,1030.1,92.6,0.8,0,0,0,,Overcast,fog,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T04:00:00,1.7,-1.1,1.6,98.76,0,0,,0,0,17.1,9.8,358,1030.4,96.1,1.7,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T05:00:00,1.7,-0.4,1.5,98.65,0,0,,0,0,11,7.2,15,1030.9,96.7,3.2,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06370099999"
Eindhoven,2025-03-01T06:00:00,2,0.2,1.9,99.42,0,0,,0,0,7.6,6.2,20,1031.1,99.4,2.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T07:00:00,2.1,2.1,2,99.3,0,0,,0,0,5.2,3.8,355,1031.4,100,3.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06370099999"
Eindhoven,2025-03-01T08:00:00,2.3,2.3,2.1,98.83,0,0,,0,0,4.1,3.5,18,1031.9,98.8,4.7,29,0.1,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T09:00:00,3.3,3.3,3.1,98.42,0,0,,0,0,8.8,4.2,331,1032.7,100,9.4,76,0.3,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-03-01T10:00:00,4.4,1.9,1.8,83.09,0,0,,0,0,17.7,10.4,18,1033.6,100,24.9,109,0.4,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
