heart_rate_min,heart_rate_max,date_time_start_daily,date_time_end_daily,time_offset,test_subject,location,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,sunrise,sunset,moonphase,description,Clear,Overcast,Partially cloudy,Rain,Snow
58.0,107.0,2025-02-21 00:00:00,2025-02-22 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-02-21 00:00:00,18.4,9.2,13.6,18.4,7.6,13.5,8.6,73.4,0.0,0.0,0.0,rain,0,0.0,42.3,24.6,165.0,1017.8,98.7,32.1,81.7,4,2025-02-21T07:39:35,2025-02-21T18:04:37,0.79,Cloudy skies throughout the day.,0,1,0,0,0
62.0,107.0,2025-02-22 00:00:00,2025-02-23 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-02-22 00:00:00,12.6,9.6,10.9,12.6,7.6,10.5,8.9,87.9,2.469,100.0,50.0,rain,0,0.0,32.7,23.1,189.5,1015.1,99.5,22.9,24.8,2,2025-02-22T07:37:33,2025-02-22T18:06:25,0.82,Cloudy skies throughout the day with a chance of rain throughout the day.,0,1,0,1,0
57.0,88.0,2025-02-23 00:00:00,2025-02-24 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-02-23 00:00:00,14.5,7.9,10.7,14.5,5.8,9.7,7.6,82.3,0.262,100.0,8.33,rain,0,0.0,35.9,24.4,198.8,1025.9,86.5,21.9,107.0,5,2025-02-23T07:35:29,2025-02-23T18:08:12,0.85,Partly cloudy throughout the day with rain.,0,0,1,1,0
66.0,95.0,2025-03-03 00:00:00,2025-03-04 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-03-03 00:00:00,11.5,-3.9,2.8,11.5,-3.9,2.7,-0.8,80.8,0.0,0.0,0.0,,0,0.0,14.1,9.5,21.6,1029.8,0.7,9.7,149.3,6,2025-03-03T07:18:28,2025-03-03T18:22:23,0.12,Clear conditions throughout the day.,1,0,0,0,0
69.0,86.0,2025-03-04 00:00:00,2025-03-05 00:00:00,UTC+0100,2,Torremolinos,Torremolinos,2025-03-04 00:00:00,19.5,10.6,14.9,19.5,10.6,14.9,11.8,82.7,0.0,0.0,0.0,rain,0,0.0,26.6,14.8,244.1,1012.0,57.0,10.0,146.7,8,2025-03-04T07:44:22,2025-03-04T19:15:33,0.16,Partly cloudy throughout the day.,0,0,1,0,0
67.0,86.0,2025-03-05 00:00:00,2025-03-06 00:00:00,UTC+0100,2,Torremolinos,Torremolinos,2025-03-05 00:00:00,16.3,13.5,15.1,16.3,13.5,15.1,12.5,84.7,0.6,100.0,4.17,rain,0,0.0,45.7,26.8,111.2,1011.4,90.3,10.0,60.3,3,2025-03-05T07:42:59,2025-03-05T19:16:30,0.19,Cloudy skies throughout the day with late afternoon rain.,0,1,0,1,0
63.0,91.0,2025-03-06 00:00:00,2025-03-07 00:00:00,UTC+0100,2,Torremolinos,Torremolinos,2025-03-06 00:00:00,17.8,13.5,15.6,17.8,13.5,15.6,12.5,82.1,0.0,0.0,0.0,rain,0,0.0,43.9,22.3,265.5,1012.0,78.3,11.7,112.9,7,2025-03-06T07:41:35,2025-03-06T19:17:25,0.25,Partly cloudy throughout the day.,0,0,1,0,0
62.0,86.0,2025-03-07 00:00:00,2025-03-08 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-03-07 00:00:00,17.8,3.7,10.2,17.8,1.9,9.4,2.8,62.0,0.0,0.0,0.0,,0,0.0,28.8,17.6,167.8,1016.5,31.0,37.3,150.7,6,2025-03-07T07:09:41,2025-03-07T18:29:21,0.26,Partly cloudy throughout the day.,0,0,1,0,0
59.0,78.0,2025-03-08 00:00:00,2025-03-09 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-03-08 00:00:00,19.2,3.5,10.2,19.2,2.3,10.0,1.4,59.0,0.0,0.0,0.0,,0,0.0,28.3,17.2,95.1,1012.5,15.3,24.7,155.6,6,2025-03-08T07:07:28,2025-03-08T18:31:05,0.3,Clear conditions throughout the day.,1,0,0,0,0
70.0,104.0,2025-03-22 00:00:00,2025-03-23 00:00:00,UTC+0100,2,Eindhoven,Eindhoven,2025-03-22 00:00:00,18.9,12.9,15.8,18.9,12.9,15.8,6.5,55.2,0.047,100.0,8.33,rain,0,0.0,31.8,17.9,116.7,1003.7,96.3,38.9,110.3,5,2025-03-22T06:35:50,2025-03-22T18:54:57,0.75,Cloudy skies throughout the day with rain.,0,1,0,1,0
58.0,114.0,2025-02-12 00:00:00,2025-02-13 00:00:00,UTC+0100,3,Eindhoven,Eindhoven,2025-02-12 00:00:00,5.1,2.3,3.5,5.1,0.4,2.4,2.7,94.5,0.305,100.0,8.33,rain,0,0.0,17.9,7.3,200.9,1018.1,98.7,6.6,27.7,1,2025-02-12T07:57:09,2025-02-12T17:48:16,0.5,Cloudy skies throughout the day with morning rain.,0,1,0,1,0
76.0,76.0,2025-02-14 00:00:00,2025-02-15 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-14 00:00:00,3.1,-5.4,-0.4,2.5,-5.4,-1.4,-1.9,90.4,0.0,0.0,0.0,,0,0.0,14.2,9.9,50.3,1027.5,68.5,5.6,47.4,2,2025-02-14T07:53:23,2025-02-14T17:51:56,0.56,Partly cloudy throughout the day.,0,0,1,0,0
70.0,87.0,2025-02-19 00:00:00,2025-02-20 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-19 00:00:00,5.5,-1.0,1.8,2.5,-5.5,-2.0,-6.3,55.5,0.0,0.0,0.0,,0,0.0,29.2,18.3,110.5,1021.8,95.4,27.8,93.1,4,2025-02-19T07:43:38,2025-02-19T18:01:00,0.72,Cloudy skies throughout the day.,0,1,0,0,0
86.0,86.0,2025-02-20 00:00:00,2025-02-21 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-20 00:00:00,12.4,1.4,7.7,12.4,-1.7,6.3,4.6,81.2,0.0,0.0,0.0,rain,0,0.0,35.0,21.0,178.9,1020.5,95.3,14.9,55.2,3,2025-02-20T07:41:37,2025-02-20T18:02:49,0.75,Cloudy skies throughout the day.,0,1,0,0,0
55.0,142.0,2025-02-25 00:00:00,2025-02-26 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-25 00:00:00,12.5,5.6,8.9,12.5,3.4,7.9,7.0,88.8,0.598,100.0,16.67,rain,0,0.0,27.6,16.3,182.7,1013.5,79.3,18.3,73.5,4,2025-02-25T07:31:18,2025-02-25T18:11:47,0.92,Partly cloudy throughout the day with rain.,0,0,1,1,0
55.0,94.0,2025-02-26 00:00:00,2025-02-27 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-26 00:00:00,11.3,3.6,7.5,11.3,1.6,5.5,4.7,84.0,7.97,100.0,37.5,rain,0,0.0,35.6,21.2,221.6,1015.4,75.0,18.2,92.5,5,2025-02-26T07:29:12,2025-02-26T18:13:33,0.95,Partly cloudy throughout the day with rain.,0,0,1,1,0
66.0,114.0,2025-02-27 00:00:00,2025-02-28 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-02-27 00:00:00,8.1,3.8,5.9,5.1,0.6,2.8,4.3,89.4,0.82,100.0,41.67,rain,0,0.0,42.9,21.3,236.4,1015.1,84.1,22.1,79.9,4,2025-02-27T07:27:05,2025-02-27T18:15:20,0.98,Partly cloudy throughout the day with a chance of rain throughout the day.,0,0,1,1,0
66.0,69.0,2025-03-14 00:00:00,2025-03-15 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-03-14 00:00:00,6.4,-3.0,2.5,4.8,-3.2,0.6,-1.3,77.5,0.005,100.0,4.17,"rain,snow",0,0.0,24.9,16.9,14.1,1009.2,66.5,33.5,137.0,7,2025-03-14T06:54:01,2025-03-14T18:41:23,0.5,Becoming cloudy in the afternoon with afternoon rain or snow.,0,0,1,1,1
80.0,113.0,2025-03-15 00:00:00,2025-03-16 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-03-15 00:00:00,7.6,-2.1,2.6,3.9,-6.6,-1.4,-1.5,75.9,0.0,0.0,0.0,,0,0.0,39.4,27.5,33.1,1018.8,38.7,32.2,118.6,6,2025-03-15T06:51:45,2025-03-15T18:43:06,0.54,Partly cloudy throughout the day.,0,0,1,0,0
74.0,108.0,2025-03-16 00:00:00,2025-03-17 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-03-16 00:00:00,10.0,-1.7,3.9,7.6,-6.1,0.7,-1.5,71.2,0.0,0.0,0.0,,0,0.0,32.2,17.8,21.2,1022.4,11.7,28.2,186.1,7,2025-03-16T06:49:29,2025-03-16T18:44:48,0.57,Clear conditions throughout the day.,1,0,0,0,0
73.0,113.0,2025-03-17 00:00:00,2025-03-18 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-03-17 00:00:00,10.1,3.6,6.6,10.1,0.8,4.3,-0.5,63.9,0.0,0.0,0.0,,0,0.0,38.7,24.5,54.4,1027.8,54.3,35.2,130.7,6,2025-03-17T06:47:13,2025-03-17T18:46:30,0.6,Partly cloudy throughout the day.,0,0,1,0,0
61.0,114.0,2025-03-19 00:00:00,2025-03-20 00:00:00,UTC+0100,4,Eindhoven,Eindhoven,2025-03-19 00:00:00,18.5,0.4,8.9,18.5,0.0,8.2,-2.2,46.9,0.0,0.0,0.0,,0,0.0,28.2,13.8,141.9,1024.0,1.0,38.8,189.5,6,2025-03-19T06:42:40,2025-03-19T18:49:53,0.67,Clear conditions throughout the day.,1,0,0,0,0
64.0,117.0,2025-02-19 00:00:00,2025-02-20 00:00:00,UTC+0100,5,Eindhoven,Eindhoven,2025-02-19 00:00:00,5.5,-1.0,1.8,2.5,-5.5,-2.0,-6.3,55.5,0.0,0.0,0.0,,0,0.0,29.2,18.3,110.5,1021.8,95.4,27.8,93.1,4,2025-02-19T07:43:38,2025-02-19T18:01:00,0.72,Cloudy skies throughout the day.,0,1,0,0,0
62.0,135.0,2025-02-20 00:00:00,2025-02-21 00:00:00,UTC+0100,5,Eindhoven,Eindhoven,2025-02-20 00:00:00,12.4,1.4,7.7,12.4,-1.7,6.3,4.6,81.2,0.0,0.0,0.0,rain,0,0.0,35.0,21.0,178.9,1020.5,95.3,14.9,55.2,3,2025-02-20T07:41:37,2025-02-20T18:02:49,0.75,Cloudy skies throughout the day.,0,1,0,0,0
52.0,148.0,2025-02-21 00:00:00,2025-02-22 00:00:00,UTC+0100,5,Eindhoven,Eindhoven,2025-02-21 00:00:00,18.4,9.2,13.6,18.4,7.6,13.5,8.6,73.4,0.0,0.0,0.0,rain,0,0.0,42.3,24.6,165.0,1017.8,98.7,32.1,81.7,4,2025-02-21T07:39:35,2025-02-21T18:04:37,0.79,Cloudy skies throughout the day.,0,1,0,0,0
62.0,143.0,2025-02-23 00:00:00,2025-02-24 00:00:00,UTC+0100,5,Eindhoven,Eindhoven,2025-02-23 00:00:00,14.5,7.9,10.7,14.5,5.8,9.7,7.6,82.3,0.262,100.0,8.33,rain,0,0.0,35.9,24.4,198.8,1025.9,86.5,21.9,107.0,5,2025-02-23T07:35:29,2025-02-23T18:08:12,0.85,Partly cloudy throughout the day with rain.,0,0,1,1,0
57.0,132.0,2025-02-25 00:00:00,2025-02-26 00:00:00,UTC+0100,5,Eindhoven,Eindhoven,2025-02-25 00:00:00,12.5,5.6,8.9,12.5,3.4,7.9,7.0,88.8,0.598,100.0,16.67,rain,0,0.0,27.6,16.3,182.7,1013.5,79.3,18.3,73.5,4,2025-02-25T07:31:18,2025-02-25T18:11:47,0.92,Partly cloudy throughout the day with rain.,0,0,1,1,0
