com.samsung.shealth.exercise,6292001,16
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
34306235-5f65-305f-6334-626335623736.live_data_internal.json,0,,,,,0.0,0,,,,34306235-5f65-305f-6334-626335623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,222000,,100032,0.0,,2025-02-19 12:15:08.000,15006,,0.0,0.0,107.0,0,0.0,0.0,100032,124.0,2025-02-19 12:20:30.000,2025-02-19 12:20:30.000,0.0,0.0,0.0,97.0,0,0.0,0.0,36.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,34306235-5f65-305f-6334-626335623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-19 12:20:30.000,34306235-5f65-305f-6334-626335623736,,
34626435-5f34-305f-3464-666535623736.live_data_internal.json,0,,,,,0.0,0,,,,34626435-5f34-305f-3464-666535623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,615000,,100032,0.0,,2025-02-19 14:51:00.000,1001,,0.0,0.0,100.0,30001,0.0,0.0,100032,121.0,2025-02-19 15:01:15.000,2025-02-19 15:01:15.000,0.0,1.775,63.0,88.0,655,496.0,0.0,47.0,144.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,34626435-5f34-305f-3464-666535623736.com.samsung.health.exercise.live_data.json,0.0,0.81178397,com.sec.android.app.shealth,,,,,2025-02-19 15:01:15.000,34626435-5f34-305f-3464-666535623736,,
38376637-5f30-375f-6131-666536623736.live_data_internal.json,0,,,,,0.0,0,,,,38376637-5f30-375f-6131-666536623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,907000,,100032,0.0,,2025-02-20 09:00:10.000,0,,0.0,0.0,106.0,0,0.0,0.0,100032,145.0,2025-02-20 09:15:24.000,2025-02-20 09:15:24.000,0.0,0.0,0.0,88.0,0,0.0,0.0,87.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38376637-5f30-375f-6131-666536623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-20 09:15:24.000,38376637-5f30-375f-6131-666536623736,,
38643935-5f34-305f-6166-366636623736.live_data_internal.json,0,,,,,0.0,0,,,,38643935-5f34-305f-6166-366636623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,828000,,100032,0.0,,2025-02-20 09:33:46.000,1001,,0.0,0.0,127.0,30001,0.0,0.0,100032,143.0,2025-02-20 09:47:34.000,2025-02-20 09:47:34.000,0.0,1.7590001,98.0,109.0,1353,1030.0,0.0,64.0,138.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38643935-5f34-305f-6166-366636623736.com.samsung.health.exercise.live_data.json,0.0,1.2515188,com.sec.android.app.shealth,,,,,2025-02-20 09:47:34.000,38643935-5f34-305f-6166-366636623736,,
38363834-5f34-305f-3434-323137623736.live_data_internal.json,0,,,,,0.0,0,,,,38363834-5f34-305f-3434-323137623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1104000,,100032,0.0,,2025-02-20 11:30:12.000,1001,,0.0,0.0,115.0,30001,0.0,0.0,100032,131.0,2025-02-20 11:49:59.000,2025-02-20 11:49:59.000,0.0,2.009,88.0,99.0,1623,1216.0,0.0,86.0,150.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38363834-5f34-305f-3434-323137623736.com.samsung.health.exercise.live_data.json,0.0,1.1084777,com.sec.android.app.shealth,,,,,2025-02-20 11:49:59.000,38363834-5f34-305f-3434-323137623736,,
37613635-5f34-305f-3736-383537623736.live_data_internal.json,0,,,,,0.0,0,,,,37613635-5f34-305f-3736-383537623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,860000,,100032,0.0,,2025-02-20 16:29:27.000,1001,,0.0,0.0,104.0,30001,0.0,0.0,100032,122.0,2025-02-20 16:45:28.000,2025-02-20 16:45:28.000,0.0,1.716,75.0,73.0,1088,831.0,0.0,66.0,120.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,37613635-5f34-305f-3736-383537623736.com.samsung.health.exercise.live_data.json,0.0,0.9685315,com.sec.android.app.shealth,,,,,2025-02-20 16:45:28.000,37613635-5f34-305f-3736-383537623736,,
66663762-5f30-375f-3135-633938623736.live_data_internal.json,0,,,,,0.0,0,,,,66663762-5f30-375f-3135-633938623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,896000,,100032,0.0,,2025-02-21 15:31:29.000,0,,0.0,0.0,121.0,0,0.0,0.0,100032,150.0,2025-02-21 15:46:28.000,2025-02-21 15:46:28.000,0.0,0.0,0.0,84.0,0,0.0,0.0,95.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66663762-5f30-375f-3135-633938623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 15:46:28.000,66663762-5f30-375f-3135-633938623736,,
66333464-5f30-375f-3839-386138623736.live_data_internal.json,0,,,,,0.0,0,,,,66333464-5f30-375f-3839-386138623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,627000,,100032,0.0,,2025-02-21 16:23:52.000,0,,0.0,0.0,129.0,0,0.0,0.0,100032,146.0,2025-02-21 16:34:29.000,2025-02-21 16:34:29.000,0.0,0.0,0.0,110.0,0,0.0,0.0,63.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66333464-5f30-375f-3839-386138623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 16:34:29.000,66333464-5f30-375f-3839-386138623736,,
62323561-5f30-375f-6134-656438623736.live_data_internal.json,0,,,,,0.0,0,,,,62323561-5f30-375f-6134-656438623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1297000,,100032,0.0,,2025-02-21 20:12:58.000,0,,0.0,0.0,112.0,0,0.0,0.0,100032,141.0,2025-02-21 20:34:35.000,2025-02-21 20:34:35.000,0.0,0.0,0.0,92.0,0,0.0,0.0,137.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,62323561-5f30-375f-6134-656438623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 20:34:35.000,62323561-5f30-375f-6134-656438623736,,
31666162-5f30-375f-3430-356339623736.live_data_internal.json,0,,,,,0.0,0,,,,31666162-5f30-375f-3430-356339623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,2631000,,100032,0.0,,2025-02-22 12:37:24.000,0,,0.0,0.0,122.0,0,0.0,0.0,100032,149.0,2025-02-22 13:21:07.000,2025-02-22 13:21:07.000,0.0,0.0,0.0,92.0,0,0.0,0.0,322.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,31666162-5f30-375f-3430-356339623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 13:21:07.000,31666162-5f30-375f-3430-356339623736,,
