com.samsung.shealth.tracker.floors_day_summary,6292001,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62850050,f2e0e05b-abe5-45bb-b9e3-fd04452abf7a.binning_data.json,62900750,2025-01-31 16:21:19.438,2025-01-14 15:14:37.923,2,2,R0X8Tl1DGH,com.sec.android.app.shealth,f2e0e05b-abe5-45bb-b9e3-fd04452abf7a,1736812800000,
62850050,f3c385a7-90d7-4ed1-83ad-143f2d5f0023.binning_data.json,62900750,2025-01-31 16:21:19.607,2025-01-18 09:34:35.805,6,2,R0X8Tl1DGH,com.sec.android.app.shealth,f3c385a7-90d7-4ed1-83ad-143f2d5f0023,1737158400000,
62900750,707dda57-8dfb-4423-b1ee-881d84fe6a6a.binning_data.json,62920010,2025-02-15 19:04:46.937,2025-01-20 06:49:04.250,3,2,R0X8Tl1DGH,com.sec.android.app.shealth,707dda57-8dfb-4423-b1ee-881d84fe6a6a,1737331200000,
62900750,30418bba-c6ea-40fd-9b6b-c8ec1f868bfb.binning_data.json,62920010,2025-02-15 19:04:47.154,2025-01-21 07:52:23.461,2,2,R0X8Tl1DGH,com.sec.android.app.shealth,30418bba-c6ea-40fd-9b6b-c8ec1f868bfb,1737417600000,
62900750,f6727c27-7f4f-4d50-8c38-4d48c5163d8e.binning_data.json,62920010,2025-02-15 19:04:47.005,2025-01-22 07:31:05.636,2,2,R0X8Tl1DGH,com.sec.android.app.shealth,f6727c27-7f4f-4d50-8c38-4d48c5163d8e,1737504000000,
62900750,98f87064-3c85-4a1c-9106-93b79752ef76.binning_data.json,62920010,2025-02-15 19:04:47.071,2025-01-23 15:30:52.006,1,2,R0X8Tl1DGH,com.sec.android.app.shealth,98f87064-3c85-4a1c-9106-93b79752ef76,1737590400000,
62900750,3934b26e-c6f6-4110-8622-6e16a9f98bc7.binning_data.json,62920010,2025-02-21 10:34:35.581,2025-01-25 13:45:10.879,6,2,R0X8Tl1DGH,com.sec.android.app.shealth,3934b26e-c6f6-4110-8622-6e16a9f98bc7,1737763200000,
62900750,05a6e244-47df-491a-b49d-12ab931f381c.binning_data.json,62920010,2025-02-21 10:34:35.833,2025-01-26 09:29:30.312,3,2,R0X8Tl1DGH,com.sec.android.app.shealth,05a6e244-47df-491a-b49d-12ab931f381c,1737849600000,
62900750,2202ad28-981e-4dab-b864-300e7cd02a04.binning_data.json,62920010,2025-02-21 10:34:35.647,2025-01-27 07:17:05.445,2,2,R0X8Tl1DGH,com.sec.android.app.shealth,2202ad28-981e-4dab-b864-300e7cd02a04,1737936000000,
62900750,b50a46fb-7824-4086-add8-78aee8b40824.binning_data.json,62920010,2025-02-21 10:34:35.484,2025-01-29 22:44:03.082,1,2,R0X8Tl1DGH,com.sec.android.app.shealth,b50a46fb-7824-4086-add8-78aee8b40824,1738108800000,
