com.samsung.health.floors_climbed,6293007,6
start_time,custom,update_time,create_time,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-01-13 23:00:00.000,,1991-02-12 07:51:53.000,2025-01-14 15:31:53.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 15:31:53.000,62623161-325f-3331-3738-363836333731,
2025-01-13 23:00:00.000,,2025-01-14 15:33:25.000,2025-01-14 15:33:25.000,1.02,66323862-325f-3530-3838-363836333731.raw_data.json,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 15:33:25.000,66323862-325f-3530-3838-363836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 15:37:55.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 15:37:55.000,36643966-325f-3537-3039-363836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:16:15.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:16:15.000,64656132-355f-3537-3331-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:19:10.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:19:10.000,64613535-355f-3035-3531-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:19:20.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:19:20.000,34323835-355f-3036-3531-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:20:48.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:20:48.000,35376436-355f-3834-3631-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:21:20.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:21:20.000,35343537-355f-3038-3631-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:22:46.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:22:46.000,33326138-355f-3636-3731-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:23:46.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:23:46.000,36633839-355f-3632-3831-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:24:28.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:24:28.000,61303361-355f-3836-3831-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:26:05.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:26:05.000,33396162-355f-3536-3931-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:26:20.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:26:20.000,34336562-355f-3038-3931-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:29:11.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:29:11.000,64373765-355f-3135-3132-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:30:50.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:30:50.000,32326666-355f-3035-3232-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:35:39.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:35:39.000,36373534-365f-3933-3532-373836333731,
2025-01-14 15:31:01.000,,1991-02-12 07:51:53.000,2025-01-14 16:39:23.000,1.02,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-01-14 16:39:23.000,66316337-365f-3336-3732-373836333731,
