com.samsung.shealth.step_daily_trend,6292001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
f5403073-b86e-475d-9957-966aa1768768.binning_data.json,2025-01-20 23:00:01.874,2025-01-20 23:00:01.874,com.sec.android.app.shealth,25,80,0.88842773,59.228516,2.851532,MhLCbMNGdz,com.sec.android.app.shealth,f5403073-b86e-475d-9957-966aa1768768,1737244800000,
3dc77d36-1bc6-4889-8161-8fb808717bab.binning_data.json,2025-01-20 23:00:01.887,2025-01-20 23:00:01.887,com.sec.android.app.shealth,25,4282,1.584832,3222.4917,158.6535,MhLCbMNGdz,com.sec.android.app.shealth,3dc77d36-1bc6-4889-8161-8fb808717bab,1737331200000,
509d7946-83a9-4f23-9254-df0e2572846d.binning_data.json,2025-01-22 06:59:19.644,2025-01-20 23:58:07.663,com.sec.android.app.shealth,-2,4681,1.2435303,3526.5645,159.7684,VfS0qUERdZ,com.sec.android.app.shealth,509d7946-83a9-4f23-9254-df0e2572846d,1737417600000,
043e8491-a2fe-4dbc-a97a-b299a8fb7059.binning_data.json,2025-01-21 23:00:01.000,2025-01-21 23:00:01.000,com.sec.android.app.shealth,0,3742,1.2158318,2792.96,118.549995,R0X8Tl1DGH,com.sec.android.app.shealth,043e8491-a2fe-4dbc-a97a-b299a8fb7059,1737417600000,
95890422-91c7-478c-9b03-3b0787a0bab2.binning_data.json,2025-01-22 23:00:02.010,2025-01-21 23:00:01.243,com.sec.android.app.shealth,25,1456,1.3024782,1128.8145,59.076416,MhLCbMNGdz,com.sec.android.app.shealth,95890422-91c7-478c-9b03-3b0787a0bab2,1737417600000,
55d6abc2-8728-475c-b3c1-5337e357908a.binning_data.json,2025-01-22 22:34:36.536,2025-01-22 07:02:06.311,com.sec.android.app.shealth,-2,4506,1.2686809,3367.3474,145.13922,VfS0qUERdZ,com.sec.android.app.shealth,55d6abc2-8728-475c-b3c1-5337e357908a,1737504000000,
b0506a50-c758-4f27-b28c-627f65235e48.binning_data.json,2025-01-22 23:00:01.609,2025-01-22 23:00:01.609,com.sec.android.app.shealth,0,3926,1.2553077,2932.07,122.46,R0X8Tl1DGH,com.sec.android.app.shealth,b0506a50-c758-4f27-b28c-627f65235e48,1737504000000,
10739e64-11d4-4646-8292-1cc0c282d4c7.binning_data.json,2025-01-22 23:00:02.004,2025-01-22 23:00:02.004,com.sec.android.app.shealth,25,1305,1.5045508,977.958,48.151123,MhLCbMNGdz,com.sec.android.app.shealth,10739e64-11d4-4646-8292-1cc0c282d4c7,1737504000000,
2be16719-5ead-42f4-a456-65cf3a5c4d4c.binning_data.json,2025-01-23 22:30:54.699,2025-01-23 07:24:36.168,com.sec.android.app.shealth,-2,4578,1.2626679,3422.17,141.54,VfS0qUERdZ,com.sec.android.app.shealth,2be16719-5ead-42f4-a456-65cf3a5c4d4c,1737590400000,
9ff8b894-51ec-430d-9c88-f87118e9e528.binning_data.json,2025-01-23 23:00:00.712,2025-01-23 23:00:00.712,com.sec.android.app.shealth,0,4578,1.2626679,3422.17,141.54,R0X8Tl1DGH,com.sec.android.app.shealth,9ff8b894-51ec-430d-9c88-f87118e9e528,1737590400000,
b20b7c07-7831-4d2c-8f74-dae6f66028c3.binning_data.json,2025-01-24 23:00:01.554,2025-01-24 07:50:09.174,com.sec.android.app.shealth,-2,1564,1.2827737,1174.12,48.879997,VfS0qUERdZ,com.sec.android.app.shealth,b20b7c07-7831-4d2c-8f74-dae6f66028c3,1737676800000,
bc2a4435-0798-412f-b475-b5fce181cd24.binning_data.json,2025-01-24 23:00:01.403,2025-01-24 23:00:01.403,com.sec.android.app.shealth,0,1564,1.2827737,1174.12,48.879997,R0X8Tl1DGH,com.sec.android.app.shealth,bc2a4435-0798-412f-b475-b5fce181cd24,1737676800000,
34ce43ca-1ca8-43e0-9a0c-91f3aa406c07.binning_data.json,2025-01-25 22:18:24.510,2025-01-25 06:05:33.902,com.sec.android.app.shealth,-2,16869,1.3479913,12744.111,558.9864,VfS0qUERdZ,com.sec.android.app.shealth,34ce43ca-1ca8-43e0-9a0c-91f3aa406c07,1737763200000,
0108a73f-52fb-49bb-88e4-58d148d03873.binning_data.json,2025-01-25 23:00:00.578,2025-01-25 23:00:00.578,com.sec.android.app.shealth,0,13174,1.294504,9909.85,412.09,R0X8Tl1DGH,com.sec.android.app.shealth,0108a73f-52fb-49bb-88e4-58d148d03873,1737763200000,
85096eb2-d6df-46d0-989e-8625c2751c36.binning_data.json,2025-01-25 23:00:00.852,2025-01-25 23:00:00.852,com.sec.android.app.shealth,25,11369,1.4642203,8614.496,414.4284,MhLCbMNGdz,com.sec.android.app.shealth,85096eb2-d6df-46d0-989e-8625c2751c36,1737763200000,
026a910c-99e3-4d32-9625-ff5af0dce888.binning_data.json,2025-01-26 21:00:27.263,2025-01-26 08:49:56.613,com.sec.android.app.shealth,-2,2998,1.2365062,2244.3647,98.291756,VfS0qUERdZ,com.sec.android.app.shealth,026a910c-99e3-4d32-9625-ff5af0dce888,1737849600000,
