com.samsung.shealth.sleep_raw_data,6293007,2
create_sh_ver,modify_sh_ver,update_time,create_time,sleep_uuid,data,version,deviceuuid,pkg_name,datauuid
100032,100032,2025-03-05 21:49:22.000,2025-03-05 21:49:22.000,00353839-3137-3330-3837-343231343731,00323334-3536-3430-3837-343231343731.data.json,1,MhLCbMNGdz,com.sec.android.app.shealth,00323334-3536-3430-3837-343231343731,
100032,100032,2025-03-07 23:45:57.000,2025-03-07 23:45:57.000,00353839-3137-3533-3833-313431343731,00323334-3536-3633-3833-313431343731.data.json,1,MhLCbMNGdz,com.sec.android.app.shealth,00323334-3536-3633-3833-313431343731,
