com.samsung.shealth.tracker.pedometer_day_summary,6293007,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
62850050,1189,3dfeb0b2-0cab-439f-981e-36f22b0ab7ed.binning_data.json,748543,6000,62850050,1,2025-01-14 22:30:14.116,com.sec.android.app.shealth,2025-01-14 15:16:00.115,3dfeb0b2-0cab-439f-981e-36f22b0ab7ed.source_info.json,1.1877792,889.1038,43.836273,1188,VfS0qUERdZ,com.sec.android.app.shealth,0,3dfeb0b2-0cab-439f-981e-36f22b0ab7ed.achievement.json,3dfeb0b2-0cab-439f-981e-36f22b0ab7ed,1736812800000,
62850050,776,feeb7ca8-ab0b-46b2-983d-8b91a6fb64de.binning_data.json,463061,6000,62850050,1,2025-01-14 23:00:00.939,com.sec.android.app.shealth,2025-01-14 23:00:00.939,,1.2523183,579.9,29.01,775,R0X8Tl1DGH,com.sec.android.app.shealth,0,feeb7ca8-ab0b-46b2-983d-8b91a6fb64de.achievement.json,feeb7ca8-ab0b-46b2-983d-8b91a6fb64de,1736812800000,
62850050,759,877ac406-4b35-4753-bd41-03435d610115.binning_data.json,516666,6000,62850050,0,2025-01-14 23:00:01.341,com.sec.android.app.shealth,2025-01-14 23:00:01.341,,1.0974141,566.9973,27.581541,759,MhLCbMNGdz,com.sec.android.app.shealth,0,877ac406-4b35-4753-bd41-03435d610115.achievement.json,877ac406-4b35-4753-bd41-03435d610115,1736812800000,
62850050,3354,d3403f6e-86d5-400a-8aa4-81f71f313c97.binning_data.json,1996716,6000,62850050,10,2025-01-15 21:15:38.679,com.sec.android.app.shealth,2025-01-14 23:04:34.503,d3403f6e-86d5-400a-8aa4-81f71f313c97.source_info.json,1.251823,2499.536,128.64409,3344,VfS0qUERdZ,com.sec.android.app.shealth,0,d3403f6e-86d5-400a-8aa4-81f71f313c97.achievement.json,d3403f6e-86d5-400a-8aa4-81f71f313c97,1736899200000,
62850050,3065,5fc9604f-0f43-468d-af98-428801c73b16.binning_data.json,1835510,6000,62850050,0,2025-01-15 23:00:00.754,com.sec.android.app.shealth,2025-01-15 23:00:00.754,,1.2439159,2283.22,117.71,3065,R0X8Tl1DGH,com.sec.android.app.shealth,0,5fc9604f-0f43-468d-af98-428801c73b16.achievement.json,5fc9604f-0f43-468d-af98-428801c73b16,1736899200000,
62850050,416,1ce4d23f-e4a1-40bd-8cd3-845592f28751.binning_data.json,250000,6000,62850050,10,2025-01-15 23:00:00.904,com.sec.android.app.shealth,2025-01-15 23:00:00.904,,1.2429743,310.7436,15.593719,406,MhLCbMNGdz,com.sec.android.app.shealth,0,1ce4d23f-e4a1-40bd-8cd3-845592f28751.achievement.json,1ce4d23f-e4a1-40bd-8cd3-845592f28751,1736899200000,
62850050,5649,e6853289-a06a-4480-9ab9-156d2cd52687.binning_data.json,3296786,6000,62850050,5,2025-01-16 21:20:49.456,com.sec.android.app.shealth,2025-01-15 23:03:11.147,e6853289-a06a-4480-9ab9-156d2cd52687.source_info.json,1.2817712,4225.726,218.6156,5644,VfS0qUERdZ,com.sec.android.app.shealth,0,e6853289-a06a-4480-9ab9-156d2cd52687.achievement.json,e6853289-a06a-4480-9ab9-156d2cd52687,1736985600000,
62850050,5528,3e9c6b8b-35db-4f9f-a531-d9d92a647f6e.binning_data.json,3219090,6000,62850050,0,2025-01-16 23:00:00.758,com.sec.android.app.shealth,2025-01-16 23:00:00.758,,1.2835891,4131.99,213.53,5528,R0X8Tl1DGH,com.sec.android.app.shealth,0,3e9c6b8b-35db-4f9f-a531-d9d92a647f6e.achievement.json,3e9c6b8b-35db-4f9f-a531-d9d92a647f6e,1736985600000,
62850050,212,d77f19b4-38a3-41c7-8303-b1928bdc49a3.binning_data.json,133333,6000,62850050,5,2025-01-16 23:00:00.950,com.sec.android.app.shealth,2025-01-16 23:00:00.950,,1.2190485,162.53978,8.302581,207,MhLCbMNGdz,com.sec.android.app.shealth,0,d77f19b4-38a3-41c7-8303-b1928bdc49a3.achievement.json,d77f19b4-38a3-41c7-8303-b1928bdc49a3,1736985600000,
62850050,6383,25dad37a-3705-440a-a5a4-b7351581b1d0.binning_data.json,3722369,6000,62850050,9,2025-01-17 21:59:39.754,com.sec.android.app.shealth,2025-01-17 06:47:12.536,25dad37a-3705-440a-a5a4-b7351581b1d0.source_info.json,1.2805935,4766.842,242.59637,6374,VfS0qUERdZ,com.sec.android.app.shealth,0,25dad37a-3705-440a-a5a4-b7351581b1d0.achievement.json,25dad37a-3705-440a-a5a4-b7351581b1d0,1737072000000,
