day_time,daily_step_count,distance_covered,speed,calories_burned,test_subject
2025-02-12,7430,5944.0,0.4978224455611391,297.2,3
2025-02-13,4574,3659.2000000000003,0.5646913580246914,182.96,3
2025-02-14,3811,3048.8,0.3480365296803653,152.44,3
2025-02-15,9712,7769.6,0.5350964187327824,388.48,3
2025-02-16,2598,2078.4,0.2793548387096774,103.92,3
2025-02-20,13218,10574.400000000001,0.8555339805825243,528.72,3
2025-02-21,10264,8211.2,0.5678561549100969,410.56,3
2025-02-22,4927,3941.6000000000004,0.2388848484848485,197.08,3
2025-02-23,5862,4689.6,0.25051282051282053,234.48000000000002,3
2025-02-24,6629,5303.200000000001,0.27534787123572174,265.16,3
2025-02-25,11510,9208.0,0.36891025641025643,460.40000000000003,3
2025-02-26,6352,5081.6,0.2823111111111111,254.08,3
2025-02-27,10781,8624.800000000001,0.4166570048309179,431.24,3
2025-02-28,8657,6925.6,0.35084093211752787,346.28000000000003,3
2025-03-01,2711,2168.8,0.523864734299517,108.44,3
2025-03-02,559,447.20000000000005,0.4658333333333334,22.36,3
2025-03-03,2837,2269.6,1.5130666666666668,113.48,3
2025-03-04,1123,898.4000000000001,0.9358333333333333,44.92,3
2025-03-05,2924,2339.2000000000003,1.2995555555555558,116.96000000000001,3
2025-03-06,1520,1216.0,0.8444444444444446,60.8,3
2025-03-07,5018,4014.4,2.4780246913580246,200.72,3
2025-03-08,794,635.2,0.6616666666666667,31.76,3
2025-03-09,1271,1016.8000000000001,1.0591666666666668,50.84,3
2025-03-10,3456,2764.8,2.304,138.24,3
2025-03-11,2496,1996.8000000000002,1.6640000000000001,99.84,3
2025-03-12,1553,1242.4,0.986031746031746,62.12,3
2025-03-13,1907,1525.6000000000001,1.0594444444444446,76.28,3
2025-03-14,3739,2991.2000000000003,1.7804761904761903,149.56,3
2025-03-15,2241,1792.8000000000002,1.3581818181818184,89.64,3
2025-03-16,2458,1966.4,1.3109333333333333,98.32000000000001,3
2025-03-17,5001,4000.8,2.2993103448275862,200.04,3
2025-03-18,1261,1008.8000000000001,1.0508333333333333,50.44,3
2025-03-19,2971,2376.8,1.6505555555555558,118.84,3
