step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
23,18.400000000000002,0.3066666666666667,0.92,2025-02-12 10:24:00,2025-02-12 10:25:00,UTC+0100,3
21,16.8,0.28,0.84,2025-02-12 10:25:00,2025-02-12 10:26:00,UTC+0100,3
18,14.4,0.24000000000000002,0.72,2025-02-12 10:26:00,2025-02-12 10:27:00,UTC+0100,3
13,10.4,0.17333333333333334,0.52,2025-02-12 10:27:00,2025-02-12 10:28:00,UTC+0100,3
7,5.6000000000000005,0.09333333333333334,0.28,2025-02-12 10:28:00,2025-02-12 10:29:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 10:29:00,2025-02-12 10:30:00,UTC+0100,3
27,21.6,0.36000000000000004,1.08,2025-02-12 10:39:00,2025-02-12 10:40:00,UTC+0100,3
9,7.2,0.12000000000000001,0.36,2025-02-12 10:42:00,2025-02-12 10:43:00,UTC+0100,3
25,20.0,0.3333333333333333,1.0,2025-02-12 10:55:00,2025-02-12 10:56:00,UTC+0100,3
44,35.2,0.5866666666666667,1.76,2025-02-12 11:04:00,2025-02-12 11:05:00,UTC+0100,3
12,9.600000000000001,0.16000000000000003,0.48,2025-02-12 11:05:00,2025-02-12 11:06:00,UTC+0100,3
19,15.200000000000001,0.25333333333333335,0.76,2025-02-12 11:06:00,2025-02-12 11:07:00,UTC+0100,3
4,3.2,0.05333333333333334,0.16,2025-02-12 11:26:00,2025-02-12 11:27:00,UTC+0100,3
7,5.6000000000000005,0.09333333333333334,0.28,2025-02-12 11:27:00,2025-02-12 11:28:00,UTC+0100,3
6,4.800000000000001,0.08000000000000002,0.24,2025-02-12 11:36:00,2025-02-12 11:37:00,UTC+0100,3
27,21.6,0.36000000000000004,1.08,2025-02-12 11:44:00,2025-02-12 11:45:00,UTC+0100,3
57,45.6,0.76,2.2800000000000002,2025-02-12 11:45:00,2025-02-12 11:46:00,UTC+0100,3
26,20.8,0.3466666666666667,1.04,2025-02-12 11:51:00,2025-02-12 11:52:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 12:02:00,2025-02-12 12:03:00,UTC+0100,3
36,28.8,0.48000000000000004,1.44,2025-02-12 12:03:00,2025-02-12 12:04:00,UTC+0100,3
33,26.400000000000002,0.44000000000000006,1.32,2025-02-12 12:04:00,2025-02-12 12:05:00,UTC+0100,3
30,24.0,0.4,1.2,2025-02-12 12:05:00,2025-02-12 12:06:00,UTC+0100,3
16,12.8,0.21333333333333335,0.64,2025-02-12 12:06:00,2025-02-12 12:07:00,UTC+0100,3
76,60.800000000000004,1.0133333333333334,3.04,2025-02-12 12:07:00,2025-02-12 12:08:00,UTC+0100,3
86,68.8,1.1466666666666667,3.44,2025-02-12 12:08:00,2025-02-12 12:09:00,UTC+0100,3
18,14.4,0.24000000000000002,0.72,2025-02-12 12:10:00,2025-02-12 12:11:00,UTC+0100,3
11,8.8,0.14666666666666667,0.44,2025-02-12 12:12:00,2025-02-12 12:13:00,UTC+0100,3
11,8.8,0.14666666666666667,0.44,2025-02-12 12:15:00,2025-02-12 12:16:00,UTC+0100,3
43,34.4,0.5733333333333334,1.72,2025-02-12 12:17:00,2025-02-12 12:18:00,UTC+0100,3
91,72.8,1.2133333333333334,3.64,2025-02-12 12:18:00,2025-02-12 12:19:00,UTC+0100,3
86,68.8,1.1466666666666667,3.44,2025-02-12 12:19:00,2025-02-12 12:20:00,UTC+0100,3
38,30.400000000000002,0.5066666666666667,1.52,2025-02-12 12:20:00,2025-02-12 12:21:00,UTC+0100,3
92,73.60000000000001,1.2266666666666668,3.68,2025-02-12 12:21:00,2025-02-12 12:22:00,UTC+0100,3
90,72.0,1.2,3.6,2025-02-12 12:22:00,2025-02-12 12:23:00,UTC+0100,3
77,61.6,1.0266666666666666,3.08,2025-02-12 12:23:00,2025-02-12 12:24:00,UTC+0100,3
80,64.0,1.0666666666666667,3.2,2025-02-12 12:24:00,2025-02-12 12:25:00,UTC+0100,3
43,34.4,0.5733333333333334,1.72,2025-02-12 12:25:00,2025-02-12 12:26:00,UTC+0100,3
13,10.4,0.17333333333333334,0.52,2025-02-12 12:26:00,2025-02-12 12:27:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 12:29:00,2025-02-12 12:30:00,UTC+0100,3
32,25.6,0.4266666666666667,1.28,2025-02-12 13:19:00,2025-02-12 13:20:00,UTC+0100,3
62,49.6,0.8266666666666667,2.48,2025-02-12 13:20:00,2025-02-12 13:21:00,UTC+0100,3
111,88.80000000000001,1.4800000000000002,4.44,2025-02-12 13:21:00,2025-02-12 13:22:00,UTC+0100,3
108,86.4,1.4400000000000002,4.32,2025-02-12 13:22:00,2025-02-12 13:23:00,UTC+0100,3
110,88.0,1.4666666666666666,4.4,2025-02-12 13:23:00,2025-02-12 13:24:00,UTC+0100,3
79,63.2,1.0533333333333335,3.16,2025-02-12 13:24:00,2025-02-12 13:25:00,UTC+0100,3
32,25.6,0.4266666666666667,1.28,2025-02-12 13:25:00,2025-02-12 13:26:00,UTC+0100,3
7,5.6000000000000005,0.09333333333333334,0.28,2025-02-12 13:26:00,2025-02-12 13:27:00,UTC+0100,3
49,39.2,0.6533333333333334,1.96,2025-02-12 13:27:00,2025-02-12 13:28:00,UTC+0100,3
107,85.60000000000001,1.4266666666666667,4.28,2025-02-12 13:28:00,2025-02-12 13:29:00,UTC+0100,3
105,84.0,1.4,4.2,2025-02-12 13:29:00,2025-02-12 13:30:00,UTC+0100,3
105,84.0,1.4,4.2,2025-02-12 13:30:00,2025-02-12 13:31:00,UTC+0100,3
88,70.4,1.1733333333333333,3.52,2025-02-12 13:31:00,2025-02-12 13:32:00,UTC+0100,3
15,12.0,0.2,0.6,2025-02-12 13:32:00,2025-02-12 13:33:00,UTC+0100,3
4,3.2,0.05333333333333334,0.16,2025-02-12 13:34:00,2025-02-12 13:35:00,UTC+0100,3
24,19.200000000000003,0.32000000000000006,0.96,2025-02-12 13:35:00,2025-02-12 13:36:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 13:37:00,2025-02-12 13:38:00,UTC+0100,3
34,27.200000000000003,0.45333333333333337,1.36,2025-02-12 13:38:00,2025-02-12 13:39:00,UTC+0100,3
21,16.8,0.28,0.84,2025-02-12 14:19:00,2025-02-12 14:20:00,UTC+0100,3
47,37.6,0.6266666666666667,1.8800000000000001,2025-02-12 14:20:00,2025-02-12 14:21:00,UTC+0100,3
43,34.4,0.5733333333333334,1.72,2025-02-12 14:21:00,2025-02-12 14:22:00,UTC+0100,3
31,24.8,0.41333333333333333,1.24,2025-02-12 14:22:00,2025-02-12 14:23:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 14:24:00,2025-02-12 14:25:00,UTC+0100,3
97,77.60000000000001,1.2933333333333334,3.88,2025-02-12 14:25:00,2025-02-12 14:26:00,UTC+0100,3
72,57.6,0.9600000000000001,2.88,2025-02-12 14:26:00,2025-02-12 14:27:00,UTC+0100,3
12,9.600000000000001,0.16000000000000003,0.48,2025-02-12 14:27:00,2025-02-12 14:28:00,UTC+0100,3
36,28.8,0.48000000000000004,1.44,2025-02-12 14:28:00,2025-02-12 14:29:00,UTC+0100,3
73,58.400000000000006,0.9733333333333334,2.92,2025-02-12 14:29:00,2025-02-12 14:30:00,UTC+0100,3
74,59.2,0.9866666666666667,2.96,2025-02-12 14:30:00,2025-02-12 14:31:00,UTC+0100,3
95,76.0,1.2666666666666666,3.8000000000000003,2025-02-12 14:31:00,2025-02-12 14:32:00,UTC+0100,3
23,18.400000000000002,0.3066666666666667,0.92,2025-02-12 14:32:00,2025-02-12 14:33:00,UTC+0100,3
8,6.4,0.10666666666666667,0.32,2025-02-12 14:39:00,2025-02-12 14:40:00,UTC+0100,3
