step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
130,101.4,,5.19,2025-01-27 07:12:00,2025-01-27 07:13:00,UTC+0100,1
108,84.54,,4.32,2025-01-27 07:13:00,2025-01-27 07:14:00,UTC+0100,1
81,62.95,,3.21,2025-01-27 07:14:00,2025-01-27 07:15:00,UTC+0100,1
124,96.33,,4.96,2025-01-27 07:15:00,2025-01-27 07:16:00,UTC+0100,1
104,80.009964,,4.1599975,2025-01-27 07:16:00,2025-01-27 07:17:00,UTC+0100,1
117,91.10992,,4.679997,2025-01-27 07:17:00,2025-01-27 07:18:00,UTC+0100,1
115,89.90991,,4.599997,2025-01-27 07:18:00,2025-01-27 07:19:00,UTC+0100,1
113,87.48001,,4.519999,2025-01-27 07:19:00,2025-01-27 07:20:00,UTC+0100,1
99,75.59998,,3.9299984,2025-01-27 07:20:00,2025-01-27 07:21:00,UTC+0100,1
94,71.92,,3.6699996,2025-01-27 07:21:00,2025-01-27 07:22:00,UTC+0100,1
13,9.75,,0.49,2025-01-27 07:22:00,2025-01-27 07:23:00,UTC+0100,1
17,13.22,,0.61,2025-01-27 11:04:00,2025-01-27 11:05:00,UTC+0100,1
27,20.95,,1.05,2025-01-27 11:05:00,2025-01-27 11:06:00,UTC+0100,1
15,13.07,,0.65,2025-01-27 11:10:00,2025-01-27 11:11:00,UTC+0100,1
31,23.61,,1.2,2025-01-27 11:13:00,2025-01-27 11:14:00,UTC+0100,1
103,79.02,,4.07,2025-01-27 11:14:00,2025-01-27 11:15:00,UTC+0100,1
87,67.88,,3.43,2025-01-27 11:15:00,2025-01-27 11:16:00,UTC+0100,1
109,85.01996,,4.3599987,2025-01-27 11:16:00,2025-01-27 11:17:00,UTC+0100,1
81,61.68,,3.1999993,2025-01-27 11:17:00,2025-01-27 11:18:00,UTC+0100,1
100,77.67,,3.97,2025-01-27 11:18:00,2025-01-27 11:19:00,UTC+0100,1
120,92.85,,4.8,2025-01-27 11:19:00,2025-01-27 11:20:00,UTC+0100,1
85,63.91,,3.31,2025-01-27 11:20:00,2025-01-27 11:21:00,UTC+0100,1
11,8.25,,0.44,2025-01-27 11:21:00,2025-01-27 11:22:00,UTC+0100,1
11,9.18,,0.39,2025-01-27 11:22:00,2025-01-27 11:23:00,UTC+0100,1
35,26.22,,1.34,2025-01-27 11:30:00,2025-01-27 11:31:00,UTC+0100,1
121,93.45,,4.84,2025-01-27 11:31:00,2025-01-27 11:32:00,UTC+0100,1
121,94.38,,4.84,2025-01-27 11:32:00,2025-01-27 11:33:00,UTC+0100,1
124,96.21,,4.96,2025-01-27 11:33:00,2025-01-27 11:34:00,UTC+0100,1
111,83.82,,4.44,2025-01-27 11:34:00,2025-01-27 11:35:00,UTC+0100,1
80,61.95,,3.2,2025-01-27 11:35:00,2025-01-27 11:36:00,UTC+0100,1
93,77.47,,4.1,2025-01-27 11:36:00,2025-01-27 11:37:00,UTC+0100,1
123,96.15,,4.91,2025-01-27 11:37:00,2025-01-27 11:38:00,UTC+0100,1
117,89.55,,4.68,2025-01-27 11:38:00,2025-01-27 11:39:00,UTC+0100,1
81,60.9,,3.24,2025-01-27 11:39:00,2025-01-27 11:40:00,UTC+0100,1
13,9.870001,,0.49,2025-01-27 11:41:00,2025-01-27 11:42:00,UTC+0100,1
8,5.7799997,,0.29999998,2025-01-27 11:42:00,2025-01-27 11:43:00,UTC+0100,1
25,19.620005,,0.9700001,2025-01-27 11:43:00,2025-01-27 11:44:00,UTC+0100,1
68,51.77,,2.64,2025-01-27 11:52:00,2025-01-27 11:53:00,UTC+0100,1
13,10.440001,,0.45999998,2025-01-27 11:58:00,2025-01-27 11:59:00,UTC+0100,1
6,4.53,,0.21,2025-01-27 12:02:00,2025-01-27 12:03:00,UTC+0100,1
8,5.9700003,,0.29,2025-01-27 12:08:00,2025-01-27 12:09:00,UTC+0100,1
9,6.6899996,,0.32,2025-01-27 12:09:00,2025-01-27 12:10:00,UTC+0100,1
6,4.22,,0.22,2025-01-27 12:10:00,2025-01-27 12:11:00,UTC+0100,1
11,8.9,,0.4,2025-01-27 12:12:00,2025-01-27 12:13:00,UTC+0100,1
89,67.87,,3.53,2025-01-27 12:13:00,2025-01-27 12:14:00,UTC+0100,1
97,75.04,,3.85,2025-01-27 12:14:00,2025-01-27 12:15:00,UTC+0100,1
76,58.08,,3.04,2025-01-27 12:15:00,2025-01-27 12:16:00,UTC+0100,1
44,33.56,,1.66,2025-01-27 12:16:00,2025-01-27 12:17:00,UTC+0100,1
22,16.82,,0.86000013,2025-01-27 12:17:00,2025-01-27 12:18:00,UTC+0100,1
9,6.71,,0.33999997,2025-01-27 12:26:00,2025-01-27 12:27:00,UTC+0100,1
8,6.21,,0.29,2025-01-27 12:35:00,2025-01-27 12:36:00,UTC+0100,1
15,11.900001,,0.52,2025-01-27 22:03:00,2025-01-27 22:04:00,UTC+0100,1
18,14.660001,,0.68,2025-01-27 22:39:00,2025-01-27 22:40:00,UTC+0100,1
16,12.600001,,0.5999999,2025-01-27 22:42:00,2025-01-27 22:43:00,UTC+0100,1
6,4.53,,0.21,2025-01-27 22:44:00,2025-01-27 22:45:00,UTC+0100,1
7,5.56,,0.25,2025-01-28 09:24:00,2025-01-28 09:25:00,UTC+0100,1
6,4.72,,0.21,2025-01-28 09:55:00,2025-01-28 09:56:00,UTC+0100,1
9,8.15,,0.33,2025-01-28 10:40:00,2025-01-28 10:41:00,UTC+0100,1
