,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
42,11.0,8.4921875,0.50953126,0.39630127,2025-02-19 10:56:00,2025-02-19 10:57:00,UTC+0100,2,Eindhoven
43,18.0,14.588867,0.87533206,0.5848999,2025-02-19 10:57:00,2025-02-19 10:58:00,UTC+0100,2,Eindhoven
44,11.0,8.375,0.5025,0.36175537,2025-02-19 10:58:00,2025-02-19 10:59:00,UTC+0100,2,Eindhoven
45,31.0,25.594727,1.5356836,1.4813232,2025-02-19 10:59:00,2025-02-19 11:00:00,UTC+0100,2,Eindhoven
46,25.0,18.34,1.2222222,0.78,2025-02-19 10:59:00,2025-02-19 11:00:00,UTC+0100,2,Eindhoven
47,9.0,6.67,1.3611112,0.29,2025-02-19 11:00:00,2025-02-19 11:01:00,UTC+0100,2,Eindhoven
48,14.0,10.076172,0.6045703,0.6748047,2025-02-19 11:00:00,2025-02-19 11:01:00,UTC+0100,2,Eindhoven
49,40.0,28.24414,1.6946484,1.4660645,2025-02-19 11:05:00,2025-02-19 11:06:00,UTC+0100,2,Eindhoven
50,24.0,19.11914,1.1471485,0.852478,2025-02-19 11:06:00,2025-02-19 11:07:00,UTC+0100,2,Eindhoven
51,19.0,15.526367,0.93158203,0.64190674,2025-02-19 11:49:00,2025-02-19 11:50:00,UTC+0100,2,Eindhoven
52,17.0,13.004883,0.780293,0.649292,2025-02-19 11:57:00,2025-02-19 11:58:00,UTC+0100,2,Eindhoven
53,10.0,7.541992,0.45251954,0.3373413,2025-02-19 12:04:00,2025-02-19 12:05:00,UTC+0100,2,Eindhoven
54,10.0,7.7299995,1.5016146,0.32,2025-02-19 12:06:00,2025-02-19 12:07:00,UTC+0100,2,Eindhoven
55,40.0,30.902344,1.8541406,1.5581665,2025-02-19 12:07:00,2025-02-19 12:08:00,UTC+0100,2,Eindhoven
56,7.0,5.46,1.5899578,0.22,2025-02-19 12:08:00,2025-02-19 12:09:00,UTC+0100,2,Eindhoven
57,10.0,8.035156,0.48210937,0.35028076,2025-02-19 12:08:00,2025-02-19 12:09:00,UTC+0100,2,Eindhoven
