step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
54,32,,,2025-03-19 18:24:00,,UTC+0100,4
57,35,,,2025-03-19 18:24:00,,UTC+0100,4
10,6,,,2025-03-19 18:23:00,,UTC+0100,4
31,20,,,2025-03-19 18:19:00,,UTC+0100,4
7,4,,,2025-03-19 18:17:00,,UTC+0100,4
12,7,,,2025-03-19 18:15:00,,UTC+0100,4
19,12,,,2025-03-19 18:15:00,,UTC+0100,4
53,32,,,2025-03-19 18:12:00,,UTC+0100,4
31,18,,,2025-03-19 18:12:00,,UTC+0100,4
60,38,,,2025-03-19 18:11:00,,UTC+0100,4
71,42,,,2025-03-19 18:11:00,,UTC+0100,4
67,40,,,2025-03-19 18:10:00,,UTC+0100,4
87,53,,,2025-03-19 18:10:00,,UTC+0100,4
33,19,,,2025-03-19 18:09:00,,UTC+0100,4
11,7,,,2025-03-19 17:45:00,,UTC+0100,4
5,3,,,2025-03-19 17:45:00,,UTC+0100,4
110,66,,,2025-03-19 17:44:00,,UTC+0100,4
112,70,,,2025-03-19 17:44:00,,UTC+0100,4
120,74,,,2025-03-19 17:43:00,,UTC+0100,4
115,69,,,2025-03-19 17:43:00,,UTC+0100,4
119,71,,,2025-03-19 17:42:00,,UTC+0100,4
116,72,,,2025-03-19 17:42:00,,UTC+0100,4
20,12,,,2025-03-19 17:41:00,,UTC+0100,4
55,34,,,2025-03-19 17:41:00,,UTC+0100,4
113,67,,,2025-03-19 17:40:00,,UTC+0100,4
116,72,,,2025-03-19 17:40:00,,UTC+0100,4
7,4,,,2025-03-19 17:39:00,,UTC+0100,4
5,3,,,2025-03-19 17:38:00,,UTC+0100,4
11,6,,,2025-03-19 17:37:00,,UTC+0100,4
50,31,,,2025-03-19 17:37:00,,UTC+0100,4
10,6,,,2025-03-19 17:36:00,,UTC+0100,4
20,12,,,2025-03-19 17:34:00,,UTC+0100,4
30,19,,,2025-03-19 17:27:00,,UTC+0100,4
8,4,,,2025-03-19 17:25:00,,UTC+0100,4
4,2,,,2025-03-19 17:24:00,,UTC+0100,4
3,1,,,2025-03-19 17:23:00,,UTC+0100,4
40,25,,,2025-03-19 17:23:00,,UTC+0100,4
61,37,,,2025-03-19 17:22:00,,UTC+0100,4
89,53,,,2025-03-19 17:22:00,,UTC+0100,4
85,50,,,2025-03-19 17:21:00,,UTC+0100,4
70,44,,,2025-03-19 17:21:00,,UTC+0100,4
6,3,,,2025-03-19 17:20:00,,UTC+0100,4
35,21,,,2025-03-19 17:19:00,,UTC+0100,4
28,17,,,2025-03-19 17:19:00,,UTC+0100,4
22,13,,,2025-03-19 17:17:00,,UTC+0100,4
10,6,,,2025-03-19 17:16:00,,UTC+0100,4
25,15,,,2025-03-19 17:13:00,,UTC+0100,4
44,27,,,2025-03-19 17:11:00,,UTC+0100,4
10,6,,,2025-03-19 17:08:00,,UTC+0100,4
16,10,,,2025-03-19 17:07:00,,UTC+0100,4
27,16,,,2025-03-19 17:07:00,,UTC+0100,4
64,40,,,2025-03-19 17:06:00,,UTC+0100,4
56,33,,,2025-03-19 17:06:00,,UTC+0100,4
38,23,,,2025-03-19 17:05:00,,UTC+0100,4
47,28,,,2025-03-19 17:05:00,,UTC+0100,4
12,8,,,2025-03-19 17:01:00,,UTC+0100,4
69,41,,,2025-03-19 17:00:00,,UTC+0100,4
97,60,,,2025-03-19 17:00:00,,UTC+0100,4
41,25,,,2025-03-19 16:59:00,,UTC+0100,4
7,4,,,2025-03-19 16:59:00,,UTC+0100,4
4,3,,,2025-03-19 16:54:00,,UTC+0100,4
83,49,,,2025-03-19 16:53:00,,UTC+0100,4
87,54,,,2025-03-19 16:53:00,,UTC+0100,4
65,40,,,2025-03-19 16:52:00,,UTC+0100,4
66,39,,,2025-03-19 16:52:00,,UTC+0100,4
63,39,,,2025-03-19 16:40:00,,UTC+0100,4
91,56,,,2025-03-19 16:39:00,,UTC+0100,4
40,24,,,2025-03-19 16:39:00,,UTC+0100,4
37,23,,,2025-03-19 16:26:00,,UTC+0100,4
22,13,,,2025-03-19 16:26:00,,UTC+0100,4
67,40,,,2025-03-19 16:25:00,,UTC+0100,4
55,34,,,2025-03-19 16:25:00,,UTC+0100,4
22,14,,,2025-03-19 16:24:00,,UTC+0100,4
24,15,,,2025-03-19 16:23:00,,UTC+0100,4
58,36,,,2025-03-19 16:22:00,,UTC+0100,4
44,27,,,2025-03-19 16:21:00,,UTC+0100,4
18,10,,,2025-03-19 16:21:00,,UTC+0100,4
97,58,,,2025-03-19 16:20:00,,UTC+0100,4
75,46,,,2025-03-19 16:20:00,,UTC+0100,4
18,11,,,2025-03-19 16:19:00,,UTC+0100,4
15,9,,,2025-03-19 16:19:00,,UTC+0100,4
76,47,,,2025-03-19 16:18:00,,UTC+0100,4
55,33,,,2025-03-19 16:18:00,,UTC+0100,4
108,64,,,2025-03-19 16:17:00,,UTC+0100,4
109,68,,,2025-03-19 16:17:00,,UTC+0100,4
114,71,,,2025-03-19 16:16:00,,UTC+0100,4
114,68,,,2025-03-19 16:16:00,,UTC+0100,4
109,67,,,2025-03-19 16:15:00,,UTC+0100,4
116,69,,,2025-03-19 16:15:00,,UTC+0100,4
19,12,,,2025-03-19 16:14:00,,UTC+0100,4
7,4,,,2025-03-19 16:14:00,,UTC+0100,4
15,9,,,2025-03-19 16:12:00,,UTC+0100,4
43,27,,,2025-03-19 15:54:00,,UTC+0100,4
24,14,,,2025-03-19 15:54:00,,UTC+0100,4
32,19,,,2025-03-19 15:53:00,,UTC+0100,4
12,7,,,2025-03-19 15:53:00,,UTC+0100,4
16,9,,,2025-03-19 15:51:00,,UTC+0100,4
17,11,,,2025-03-19 15:51:00,,UTC+0100,4
59,36,,,2025-03-19 15:50:00,,UTC+0100,4
25,15,,,2025-03-19 15:50:00,,UTC+0100,4
68,42,,,2025-03-19 15:49:00,,UTC+0100,4
79,47,,,2025-03-19 15:49:00,,UTC+0100,4
25,16,,,2025-03-19 15:33:00,,UTC+0100,4
12,7,,,2025-03-19 15:33:00,,UTC+0100,4
10,6,,,2025-03-19 15:32:00,,UTC+0100,4
46,27,,,2025-03-19 15:31:00,,UTC+0100,4
46,28,,,2025-03-19 15:31:00,,UTC+0100,4
54,32,,,2025-03-19 15:30:00,,UTC+0100,4
